"discussion_id","topic"
1299," ""existence of God"""
1304," ""abortion"""
1310," ""gay marriage"""
1312," ""abortion"""
1314," ""evolution"""
1315," ""evolution"""
1331," ""gay marriage"""
1341," ""abortion"""
1344," ""abortion"""
1353," ""abortion"""
1357," ""gun control"""
1358," ""evolution"""
1359," ""evolution"""
1360," ""gun control"""
1365," ""evolution"""
1367," ""death penalty"""
1369," ""abortion"""
1380," ""gun control"""
1386," ""evolution"""
1390," ""abortion"""
1392," ""abortion"""
1425," ""abortion"""
1427," ""evolution"""
1447," ""climate change"""
1449," ""evolution"""
1454," ""evolution"""
1458," ""evolution"""
1464," ""abortion"""
1465," ""abortion"""
1466," ""communism vs capitalism"""
1474," ""healthcare"""
1481," ""gun control"""
1484," ""evolution"""
1491," ""evolution"""
1493," ""existence of God"""
1497," ""evolution"""
1504," ""abortion"""
1515," ""evolution"""
1522," ""gun control"""
1524," ""existence of God"""
1533," ""evolution"""
1537," ""evolution"""
1548," ""gun control"""
1550," ""evolution"""
1559," ""existence of God"""
1567," ""evolution"""
1568," ""evolution"""
1574," ""evolution"""
1586," ""gay marriage"""
1588," ""gun control"""
1590," ""evolution"""
1598," ""gun control"""
1605," ""evolution"""
1608," ""gun control"""
1613," ""evolution"""
1617," ""gun control"""
1622," ""existence of God"""
1624," ""evolution"""
1627," ""abortion"""
1639," ""abortion"""
1640," ""gay marriage"""
1650," ""evolution"""
1651," ""abortion"""
1654," ""gun control"""
1655," ""evolution"""
1661," ""abortion"""
1675," ""gun control"""
1676," ""gun control"""
1678," ""gay marriage"""
1680," ""gun control"""
1695," ""gun control"""
1705," ""gay marriage"""
1706," ""gay marriage"""
1712," ""evolution"""
1714," ""existence of God"""
1730," ""gun control"""
1732," ""gun control"""
1744," ""evolution"""
1750," ""gay marriage"""
1751," ""gay marriage"""
1752," ""gay marriage"""
1761," ""gun control"""
1763," ""evolution"""
1766," ""abortion"""
1767," ""gun control"""
1769," ""gun control"""
1772," ""gun control"""
1773," ""gun control"""
1774," ""gun control"""
1782," ""gay marriage"""
1783," ""gun control"""
1784," ""gun control"""
1791," ""gun control"""
1792," ""gun control"""
1794," ""gun control"""
1796," ""evolution"""
1808," ""gun control"""
1814," ""evolution"""
1815," ""gay marriage"""
1824," ""gun control"""
1825," ""evolution"""
1829," ""gun control"""
1830," ""gun control"""
1831," ""evolution"""
1835," ""evolution"""
1843," ""gun control"""
1845," ""gun control"""
1846," ""gun control"""
1847," ""abortion"""
1848," ""gun control"""
1849," ""gun control"""
1851," ""evolution"""
1854," ""gun control"""
1855," ""gun control"""
1863," ""gun control"""
1865," ""gun control"""
1866," ""death penalty"""
1867," ""death penalty"""
1869," ""gun control"""
1870," ""abortion"""
1871," ""gun control"""
1873," ""gun control"""
1874," ""gun control"""
1875," ""gay marriage"""
1880," ""abortion"""
1884," ""abortion"""
1886," ""gun control"""
1891," ""gun control"""
1893," ""gun control"""
1894," ""gun control"""
1895," ""gun control"""
1903," ""gun control"""
1905," ""gun control"""
1907," ""gun control"""
1911," ""evolution"""
1925," ""gun control"""
1926," ""evolution"""
1934," ""gun control"""
1935," ""gun control"""
1936," ""gun control"""
1941," ""gun control"""
1945," ""abortion"""
1953," ""evolution"""
1955," ""evolution"""
1961," ""gun control"""
1969," ""gun control"""
1976," ""communism vs capitalism"""
1977," ""evolution"""
1979," ""gun control"""
1983," ""gun control"""
1986," ""evolution"""
1990," ""gun control"""
1993," ""evolution"""
1994," ""evolution"""
1996," ""evolution"""
2005," ""gun control"""
2012," ""abortion"""
2024," ""existence of God"""
2042," ""gun control"""
2043," ""gun control"""
2044," ""gun control"""
2056," ""gun control"""
2063," ""gun control"""
2069," ""gun control"""
2072," ""evolution"""
2073," ""evolution"""
2089," ""gay marriage"""
2098," ""gun control"""
2099," ""gun control"""
2116," ""gun control"""
2131," ""gay marriage"""
2133," ""gun control"""
2134," ""gun control"""
2137," ""gay marriage"""
2139," ""evolution"""
2140," ""abortion"""
2145," ""gay marriage"""
2154," ""abortion"""
2167," ""gun control"""
2170," ""evolution"""
2174," ""abortion"""
2179," ""abortion"""
2188," ""evolution"""
2191," ""abortion"""
2197," ""abortion"""
2213," ""abortion"""
2228," ""gay marriage"""
2235," ""abortion"""
2248," ""evolution"""
2274," ""existence of God"""
2288," ""gun control"""
2300," ""gun control"""
2314," ""evolution"""
2316," ""gun control"""
2319," ""existence of God"""
2330," ""abortion"""
2356," ""existence of God"""
2365," ""existence of God"""
2367," ""climate change"""
2375," ""evolution"""
2376," ""gun control"""
2393," ""gun control"""
2394," ""gun control"""
2413," ""gay marriage"""
2421," ""evolution"""
2428," ""abortion"""
2434," ""existence of God"""
2442," ""evolution"""
2459," ""gun control"""
2460," ""gun control"""
2467," ""abortion"""
2470," ""existence of God"""
2480," ""evolution"""
2483," ""gun control"""
2487," ""gay marriage"""
2492," ""evolution"""
2494," ""abortion"""
2500," ""abortion"""
2508," ""evolution"""
2510," ""gun control"""
2511," ""gun control"""
2518," ""evolution"""
2527," ""gun control"""
2531," ""evolution"""
2533," ""evolution"""
2578," ""evolution"""
2586," ""gun control"""
2591," ""evolution"""
2593," ""gun control"""
2594," ""evolution"""
2601," ""evolution"""
2606," ""gay marriage"""
2607," ""evolution"""
2609," ""evolution"""
2610," ""gay marriage"""
2620," ""gay marriage"""
2624," ""evolution"""
2646," ""evolution"""
2670," ""gay marriage"""
2694," ""gay marriage"""
2695," ""evolution"""
2701," ""evolution"""
2709," ""gun control"""
2711," ""gun control"""
2715," ""evolution"""
2720," ""gun control"""
2726," ""gun control"""
2727," ""gun control"""
2730," ""death penalty"""
2738," ""evolution"""
2739," ""evolution"""
2740," ""gay marriage"""
2742," ""gun control"""
2746," ""gay marriage"""
2752," ""gay marriage"""
2759," ""abortion"""
2764," ""evolution"""
2773," ""gay marriage"""
2790," ""gay marriage"""
2803," ""evolution"""
2823," ""gun control"""
2835," ""gun control"""
2850," ""gun control"""
2851," ""gay marriage"""
2853," ""evolution"""
2854," ""evolution"""
2855," ""evolution"""
2857," ""evolution"""
2858," ""abortion"""
2883," ""evolution"""
2897," ""gun control"""
2898," ""gun control"""
2918," ""gun control"""
2924," ""abortion"""
2926," ""gay marriage"""
2932," ""gun control"""
2960," ""abortion"""
2963," ""gun control"""
2964," ""gun control"""
2992," ""abortion"""
2998," ""evolution"""
3021," ""gay marriage"""
3031," ""gay marriage"""
3056," ""gay marriage"""
3069," ""abortion"""
3115," ""evolution"""
3124," ""communism vs capitalism"""
3130," ""gay marriage"""
3137," ""gay marriage"""
3145," ""gun control"""
3149," ""evolution"""
3156," ""gay marriage"""
3158," ""gun control"""
3169," ""abortion"""
3172," ""evolution"""
3173," ""abortion"""
3177," ""abortion"""
3193," ""gay marriage"""
3222," ""evolution"""
3223," ""gay marriage"""
3237," ""gun control"""
3241," ""evolution"""
3249," ""existence of God"""
3252," ""evolution"""
3258," ""evolution"""
3259," ""gun control"""
3264," ""evolution"""
3267," ""evolution"""
3272," ""evolution"""
3275," ""evolution"""
3277," ""gun control"""
3289," ""gay marriage"""
3292," ""existence of God"""
3296," ""gun control"""
3301," ""abortion"""
3302," ""evolution"""
3320," ""evolution"""
3321," ""existence of God"""
3327," ""evolution"""
3328," ""evolution"""
3329," ""existence of God"""
3331," ""abortion"""
3338," ""abortion"""
3350," ""evolution"""
3371," ""abortion"""
3375," ""death penalty"""
3392," ""evolution"""
3397," ""evolution"""
3398," ""evolution"""
3403," ""evolution"""
3414," ""existence of God"""
3416," ""abortion"""
3426," ""evolution"""
3432," ""evolution"""
3434," ""existence of God"""
3447," ""gun control"""
3457," ""abortion"""
3458," ""healthcare"""
3460," ""existence of God"""
3461," ""abortion"""
3462," ""evolution"""
3467," ""evolution"""
3469," ""evolution"""
3476," ""evolution"""
3486," ""existence of God"""
3487," ""gay marriage"""
3488," ""existence of God"""
3499," ""evolution"""
3504," ""evolution"""
3511," ""evolution"""
3516," ""gay marriage"""
3525," ""gay marriage"""
3540," ""gay marriage"""
3546," ""gun control"""
3570," ""abortion"""
3571," ""abortion"""
3572," ""abortion"""
3603," ""evolution"""
3608," ""gay marriage"""
3613," ""gay marriage"""
3635," ""death penalty"""
3666," ""evolution"""
3667," ""gay marriage"""
3668," ""evolution"""
3674," ""gun control"""
3676," ""evolution"""
3679," ""evolution"""
3680," ""evolution"""
3685," ""evolution"""
3696," ""abortion"""
3700," ""evolution"""
3702," ""gay marriage"""
3703," ""evolution"""
3706," ""evolution"""
3708," ""existence of God"""
3713," ""gun control"""
3714," ""death penalty"""
3715," ""abortion"""
3716," ""evolution"""
3717," ""evolution"""
3719," ""evolution"""
3720," ""evolution"""
3722," ""gay marriage"""
3730," ""evolution"""
3732," ""evolution"""
3733," ""evolution"""
3739," ""gay marriage"""
3742," ""existence of God"""
3744," ""abortion"""
3752," ""evolution"""
3756," ""gay marriage"""
3759," ""gun control"""
3764," ""abortion"""
3767," ""evolution"""
3769," ""evolution"""
3770," ""gun control"""
3778," ""gun control"""
3779," ""gun control"""
3780," ""evolution"""
3782," ""gun control"""
3791," ""marijuana legalization"""
3800," ""gun control"""
3804," ""gun control"""
3811," ""abortion"""
3819," ""gay marriage"""
3827," ""evolution"""
3839," ""existence of God"""
3843," ""gun control"""
3851," ""evolution"""
3852," ""evolution"""
3859," ""existence of God"""
3869," ""existence of God"""
3870," ""abortion"""
3882," ""evolution"""
3909," ""existence of God"""
3935," ""evolution"""
3953," ""gay marriage"""
3955," ""evolution"""
3959," ""climate change"""
3963," ""gun control"""
3965," ""evolution"""
3976," ""evolution"""
3982," ""evolution"""
3986," ""evolution"""
3996," ""gun control"""
4002," ""evolution"""
4007," ""gun control"""
4019," ""abortion"""
4025," ""abortion"""
4027," ""abortion"""
4031," ""existence of God"""
4034," ""abortion"""
4038," ""evolution"""
4040," ""abortion"""
4046," ""evolution"""
4048," ""gay marriage"""
4057," ""gay marriage"""
4062," ""abortion"""
4064," ""evolution"""
4076," ""existence of God"""
4077," ""abortion"""
4080," ""abortion"""
4081," ""abortion"""
4087," ""abortion"""
4092," ""gun control"""
4094," ""evolution"""
4103," ""evolution"""
4106," ""evolution"""
4107," ""abortion"""
4111," ""gay marriage"""
4115," ""gun control"""
4121," ""abortion"""
4126," ""gay marriage"""
4129," ""gun control"""
4130," ""communism vs capitalism"""
4132," ""gun control"""
4155," ""evolution"""
4162," ""evolution"""
4166," ""gun control"""
4167," ""evolution"""
4170," ""evolution"""
4174," ""gun control"""
4179," ""evolution"""
4180," ""evolution"""
4188," ""evolution"""
4195," ""gun control"""
4215," ""evolution"""
4216," ""abortion"""
4219," ""gay marriage"""
4220," ""abortion"""
4223," ""evolution"""
4227," ""evolution"""
4234," ""evolution"""
4235," ""gay marriage"""
4239," ""abortion"""
4240," ""evolution"""
4248," ""gun control"""
4251," ""gun control"""
4255," ""gay marriage"""
4263," ""abortion"""
4284," ""evolution"""
4295," ""evolution"""
4296," ""evolution"""
4297," ""evolution"""
4306," ""evolution"""
4311," ""existence of God"""
4319," ""gay marriage"""
4324," ""evolution"""
4330," ""evolution"""
4332," ""abortion"""
4337," ""abortion"""
4338," ""evolution"""
4339," ""gun control"""
4342," ""gay marriage"""
4349," ""abortion"""
4357," ""abortion"""
4362," ""gay marriage"""
4366," ""evolution"""
4373," ""abortion"""
4379," ""evolution"""
4383," ""evolution"""
4390," ""evolution"""
4397," ""evolution"""
4408," ""gun control"""
4410," ""abortion"""
4418," ""gay marriage"""
4429," ""evolution"""
4430," ""gay marriage"""
4432," ""gun control"""
4442," ""evolution"""
4452," ""gun control"""
4468," ""evolution"""
4470," ""evolution"""
4485," ""evolution"""
4492," ""evolution"""
4500," ""abortion"""
4508," ""communism vs capitalism"""
4510," ""gun control"""
4517," ""abortion"""
4528," ""evolution"""
4531," ""gay marriage"""
4536," ""abortion"""
4539," ""gay marriage"""
4548," ""gay marriage"""
4549," ""abortion"""
4553," ""gun control"""
4554," ""gun control"""
4562," ""evolution"""
4564," ""gay marriage"""
4567," ""evolution"""
4579," ""gun control"""
4586," ""gay marriage"""
4588," ""evolution"""
4590," ""abortion"""
4596," ""existence of God"""
4609," ""gun control"""
4611," ""gay marriage"""
4612," ""evolution"""
4617," ""evolution"""
4619," ""gun control"""
4625," ""evolution"""
4631," ""gay marriage"""
4644," ""evolution"""
4652," ""evolution"""
4653," ""abortion"""
4655," ""abortion"""
4656," ""abortion"""
4657," ""gun control"""
4660," ""evolution"""
4664," ""evolution"""
4684," ""abortion"""
4690," ""gun control"""
4699," ""abortion"""
4701," ""abortion"""
4706," ""existence of God"""
4724," ""abortion"""
4728," ""abortion"""
4729," ""abortion"""
4750," ""evolution"""
4754," ""evolution"""
4756," ""gay marriage"""
4762," ""gun control"""
4764," ""evolution"""
4768," ""evolution"""
4771," ""gay marriage"""
4779," ""gun control"""
4792," ""evolution"""
4801," ""abortion"""
4804," ""abortion"""
4808," ""gay marriage"""
4809," ""abortion"""
4810," ""gun control"""
4816," ""gay marriage"""
4819," ""gay marriage"""
4826," ""gun control"""
4827," ""existence of God"""
4829," ""gay marriage"""
4831," ""evolution"""
4834," ""gay marriage"""
4835," ""evolution"""
4846," ""communism vs capitalism"""
4852," ""gay marriage"""
4855," ""abortion"""
4856," ""evolution"""
4892," ""gay marriage"""
4893," ""abortion"""
4906," ""evolution"""
4908," ""gay marriage"""
4912," ""abortion"""
4920," ""evolution"""
4925," ""evolution"""
4942," ""evolution"""
4949," ""evolution"""
4952," ""evolution"""
4964," ""abortion"""
4976," ""abortion"""
4988," ""evolution"""
4990," ""abortion"""
4992," ""evolution"""
5004," ""evolution"""
5009," ""evolution"""
5012," ""healthcare"""
5022," ""evolution"""
5026," ""evolution"""
5027," ""death penalty"""
5029," ""evolution"""
5035," ""evolution"""
5036," ""abortion"""
5039," ""evolution"""
5043," ""evolution"""
5047," ""evolution"""
5051," ""evolution"""
5056," ""evolution"""
5059," ""evolution"""
5061," ""abortion"""
5062," ""gay marriage"""
5087," ""gay marriage"""
5091," ""abortion"""
5097," ""abortion"""
5099," ""abortion"""
5106," ""gun control"""
5117," ""evolution"""
5119," ""gay marriage"""
5121," ""evolution"""
5132," ""evolution"""
5135," ""evolution"""
5142," ""gun control"""
5155," ""gay marriage"""
5159," ""gay marriage"""
5173," ""evolution"""
5200," ""abortion"""
5205," ""evolution"""
5210," ""evolution"""
5211," ""abortion"""
5212," ""evolution"""
5214," ""evolution"""
5220," ""evolution"""
5223," ""evolution"""
5224," ""evolution"""
5227," ""evolution"""
5234," ""evolution"""
5265," ""evolution"""
5268," ""evolution"""
5270," ""evolution"""
5281," ""evolution"""
5285," ""abortion"""
5287," ""evolution"""
5293," ""gun control"""
5299," ""gun control"""
5300," ""evolution"""
5305," ""abortion"""
5312," ""abortion"""
5315," ""abortion"""
5324," ""abortion"""
5325," ""death penalty"""
5327," ""evolution"""
5337," ""abortion"""
5343," ""evolution"""
5344," ""abortion"""
5347," ""gay marriage"""
5351," ""evolution"""
5352," ""evolution"""
5354," ""abortion"""
5364," ""evolution"""
5373," ""evolution"""
5374," ""abortion"""
5375," ""evolution"""
5376," ""gay marriage"""
5383," ""abortion"""
5386," ""abortion"""
5390," ""evolution"""
5395," ""evolution"""
5399," ""abortion"""
5402," ""abortion"""
5403," ""evolution"""
5404," ""abortion"""
5406," ""evolution"""
5413," ""evolution"""
5417," ""abortion"""
5421," ""evolution"""
5425," ""abortion"""
5430," ""gay marriage"""
5439," ""abortion"""
5445," ""abortion"""
5447," ""abortion"""
5463," ""abortion"""
5465," ""evolution"""
5469," ""abortion"""
5477," ""existence of God"""
5480," ""abortion"""
5489," ""gay marriage"""
5490," ""abortion"""
5491," ""gay marriage"""
5508," ""abortion"""
5509," ""abortion"""
5510," ""evolution"""
5518," ""gay marriage"""
5524," ""abortion"""
5527," ""abortion"""
5537," ""gay marriage"""
5539," ""evolution"""
5558," ""marijuana legalization"""
5565," ""gay marriage"""
5566," ""existence of God"""
5572," ""abortion"""
5573," ""evolution"""
5585," ""abortion"""
5591," ""abortion"""
5610," ""gay marriage"""
5612," ""abortion"""
5619," ""abortion"""
5620," ""abortion"""
5622," ""evolution"""
5624," ""abortion"""
5629," ""abortion"""
5633," ""gay marriage"""
5648," ""healthcare"""
5666," ""abortion"""
5669," ""abortion"""
5677," ""evolution"""
5681," ""gay marriage"""
5685," ""gay marriage"""
5692," ""abortion"""
5700," ""abortion"""
5711," ""gay marriage"""
5723," ""evolution"""
5724," ""abortion"""
5729," ""existence of God"""
5735," ""evolution"""
5765," ""abortion"""
5769," ""marijuana legalization"""
5774," ""abortion"""
5805," ""gun control"""
5807," ""abortion"""
5812," ""marijuana legalization"""
5816," ""evolution"""
5823," ""evolution"""
5840," ""abortion"""
5841," ""gun control"""
5844," ""climate change"""
5857," ""abortion"""
5870," ""evolution"""
5876," ""gay marriage"""
5914," ""abortion"""
5933," ""gun control"""
5948," ""gun control"""
5953," ""abortion"""
5954," ""evolution"""
5962," ""evolution"""
5964," ""evolution"""
5966," ""gun control"""
5967," ""communism vs capitalism"""
5981," ""abortion"""
5994," ""abortion"""
6001," ""evolution"""
6027," ""abortion"""
6028," ""abortion"""
6032," ""evolution"""
6041," ""gun control"""
6045," ""evolution"""
6062," ""gun control"""
6070," ""abortion"""
6071," ""abortion"""
6072," ""abortion"""
6075," ""gun control"""
6078," ""evolution"""
6080," ""gun control"""
6088," ""healthcare"""
6105," ""existence of God"""
6107," ""evolution"""
6110," ""gay marriage"""
6115," ""evolution"""
6117," ""abortion"""
6121," ""evolution"""
6128," ""evolution"""
6131," ""evolution"""
6133," ""evolution"""
6144," ""abortion"""
6158," ""abortion"""
6159," ""abortion"""
6170," ""evolution"""
6173," ""evolution"""
6181," ""evolution"""
6185," ""abortion"""
6189," ""abortion"""
6198," ""evolution"""
6204," ""evolution"""
6207," ""evolution"""
6220," ""abortion"""
6224," ""existence of God"""
6228," ""evolution"""
6247," ""evolution"""
6249," ""abortion"""
6260," ""climate change"""
6261," ""evolution"""
6263," ""abortion"""
6268," ""gay marriage"""
6271," ""existence of God"""
6279," ""gay marriage"""
6287," ""evolution"""
6288," ""evolution"""
6295," ""evolution"""
6296," ""evolution"""
6297," ""evolution"""
6300," ""abortion"""
6304," ""evolution"""
6317," ""abortion"""
6319," ""existence of God"""
6320," ""abortion"""
6321," ""gay marriage"""
6322," ""abortion"""
6325," ""abortion"""
6326," ""gay marriage"""
6355," ""evolution"""
6357," ""abortion"""
6362," ""abortion"""
6369," ""evolution"""
6370," ""abortion"""
6375," ""evolution"""
6380," ""abortion"""
6399," ""gun control"""
6400," ""abortion"""
6402," ""abortion"""
6418," ""evolution"""
6426," ""abortion"""
6427," ""abortion"""
6437," ""abortion"""
6442," ""gun control"""
6444," ""abortion"""
6452," ""evolution"""
6467," ""abortion"""
6473," ""evolution"""
6479," ""gay marriage"""
6482," ""marijuana legalization"""
6491," ""gay marriage"""
6497," ""evolution"""
6502," ""abortion"""
6524," ""abortion"""
6532," ""abortion"""
6533," ""gay marriage"""
6534," ""existence of God"""
6567," ""gun control"""
6568," ""evolution"""
6590," ""evolution"""
6599," ""abortion"""
6602," ""evolution"""
6608," ""abortion"""
6612," ""gun control"""
6613," ""evolution"""
6627," ""abortion"""
6630," ""evolution"""
6634," ""evolution"""
6646," ""abortion"""
6649," ""gun control"""
6652," ""marijuana legalization"""
6657," ""existence of God"""
6661," ""communism vs capitalism"""
6665," ""abortion"""
6668," ""existence of God"""
6669," ""evolution"""
6671," ""abortion"""
6680," ""evolution"""
6688," ""existence of God"""
6691," ""evolution"""
6697," ""gun control"""
6701," ""evolution"""
6702," ""evolution"""
6703," ""abortion"""
6705," ""gay marriage"""
6722," ""abortion"""
6724," ""abortion"""
6725," ""abortion"""
6729," ""gay marriage"""
6737," ""abortion"""
6741," ""evolution"""
6742," ""gun control"""
6744," ""abortion"""
6772," ""gun control"""
6786," ""evolution"""
6797," ""evolution"""
6804," ""evolution"""
6810," ""evolution"""
6811," ""abortion"""
6817," ""communism vs capitalism"""
6818," ""gay marriage"""
6819," ""abortion"""
6821," ""abortion"""
6824," ""evolution"""
6828," ""evolution"""
6840," ""abortion"""
6883," ""abortion"""
6890," ""abortion"""
6905," ""existence of God"""
6906," ""abortion"""
6910," ""abortion"""
6917," ""evolution"""
6937," ""evolution"""
6938," ""evolution"""
6942," ""abortion"""
6945," ""abortion"""
6946," ""abortion"""
6952," ""gay marriage"""
6954," ""gun control"""
6957," ""gun control"""
6961," ""gay marriage"""
6966," ""evolution"""
6967," ""abortion"""
6971," ""gay marriage"""
6974," ""abortion"""
6980," ""gun control"""
6987," ""abortion"""
6997," ""gay marriage"""
7000," ""evolution"""
7007," ""abortion"""
7011," ""abortion"""
7012," ""abortion"""
7013," ""evolution"""
7025," ""existence of God"""
7026," ""gay marriage"""
7027," ""gay marriage"""
7033," ""death penalty"""
7046," ""abortion"""
7050," ""abortion"""
7056," ""death penalty"""
7058," ""abortion"""
7065," ""abortion"""
7073," ""gun control"""
7074," ""abortion"""
7082," ""evolution"""
7084," ""abortion"""
7097," ""evolution"""
7099," ""abortion"""
7107," ""abortion"""
7108," ""evolution"""
7109," ""gun control"""
7111," ""evolution"""
7118," ""gun control"""
7123," ""gay marriage"""
7150," ""gay marriage"""
7160," ""gun control"""
7165," ""abortion"""
7169," ""abortion"""
7190," ""abortion"""
7197," ""gay marriage"""
7203," ""evolution"""
7213," ""abortion"""
7219," ""evolution"""
7230," ""evolution"""
7232," ""evolution"""
7249," ""gay marriage"""
7256," ""abortion"""
7258," ""gay marriage"""
7268," ""abortion"""
7282," ""abortion"""
7288," ""abortion"""
7294," ""abortion"""
7295," ""abortion"""
7311," ""death penalty"""
7316," ""abortion"""
7320," ""evolution"""
7322," ""evolution"""
7325," ""evolution"""
7326," ""abortion"""
7328," ""gay marriage"""
7330," ""evolution"""
7334," ""abortion"""
7336," ""gay marriage"""
7343," ""abortion"""
7362," ""abortion"""
7374," ""gun control"""
7381," ""gay marriage"""
7391," ""abortion"""
7394," ""abortion"""
7400," ""evolution"""
7401," ""evolution"""
7404," ""abortion"""
7405," ""abortion"""
7406," ""abortion"""
7407," ""abortion"""
7409," ""abortion"""
7411," ""abortion"""
