topic,discussion_id,author,pro,anti,other
"evolution",2739,"Ursus maritimus",6,1,0
"evolution",2739,"OccamsRazor",3,1,3
"evolution",2739,"Archilochus",6,1,0
"evolution",2739,"pnac=ww3",6,1,0
"evolution",2739,"ungerdunn",7,0,0
"evolution",2739,"Mach",6,1,0
"evolution",3275,"Alan Ryan",4,0,1
"evolution",3275,"pnac=ww3",2,0,3
"evolution",3275,"Dzeron",4,0,1
"evolution",3275,"amazilia",4,1,0
"evolution",3275,"montalban",1,4,0
"evolution",3275,"Alucard",5,0,0
"evolution",3275,"OccamsRazor",5,0,0
"evolution",3275,"Mach",4,1,0
"evolution",3275,"Close_slave_can",3,1,1
"evolution",3275,"scrueballl",3,2,0
"evolution",9034,"obvious_child",0,4,4
"evolution",9034,"Collin",4,3,1
"evolution",9034,"Tastyfish",4,3,1
"evolution",9034,"lucaspa",4,3,1
"evolution",9034,"electrolyte",1,6,1
"evolution",9034,"bmittking",4,2,2
"evolution",9034,"Peeling",0,5,3
"evolution",9034,"supersport",7,0,1
"evolution",9034,"Steeeeve",4,1,3
"evolution",9034,"pandion",0,7,1
"evolution",9034,"DrNo",1,6,1
"evolution",9034,"thelmoose",2,5,1
"evolution",9034,"Jo Bennett",6,1,1
"evolution",9034,"epaphras_faith",5,2,1
"evolution",9034,"evolutions_fake",6,0,2
"evolution",9034,"trebor",0,7,1
"evolution",9034,"dislexia",5,2,1
"evolution",9034,"Winston Smith",1,6,1
"evolution",9034,"johnhanks",0,7,1
"evolution",9034,"peteratwar",6,1,1
"evolution",9034,"undefined",7,0,1
"evolution",9034,"Hi_Its_Me",0,7,1
"evolution",9034,"wascallywabbit",0,2,6
"evolution",9034,"unkerpaulie",4,3,1
"evolution",9034,"Ripskar",0,6,2
"evolution",9034,"Shooterandproud",0,7,1
"evolution",6702,"prschuster",5,1,0
"evolution",6702,"SkepticGunt",6,0,0
"evolution",6702,"Demon38",6,0,0
"evolution",6702,"Howard Beale",6,0,0
"evolution",6702,"Rygar",3,3,0
"evolution",6702,"stormboy",3,2,1
"evolution",6702,"doG",6,0,0
"evolution",6702,"Adept",5,1,0
"evolution",6702,"trebor",6,0,0
"evolution",6702,"snakespit",6,0,0
"evolution",6702,"Iuris",6,0,0
"evolution",6702,"OccamsRazor",6,0,0
"evolution",6702,"PoohBear",2,4,0
"evolution",6702,"electrolyte",4,0,2
"evolution",6702,"GreenMtnBoy",4,2,0
"evolution",6702,"Coleman",2,4,0
"evolution",8012,"Collin",6,1,0
"evolution",8012,"prschuster",5,2,0
"evolution",8012,"T.Q",6,1,0
"evolution",8012,"Adept",4,2,1
"evolution",8012,"SassyTeffie",1,4,2
"evolution",8012,"pandion",7,0,0
"evolution",8012,"DrNo",6,1,0
"evolution",8012,"thelmoose",5,1,1
"evolution",8012,"trebor",6,1,0
"evolution",8012,"Logic",1,6,0
"evolution",8012,"chaoticgnome",7,0,0
"evolution",8012,"johnhanks",5,2,0
"evolution",8012,"Master_Shake",4,1,2
"evolution",8012,"foundit66",6,1,0
"evolution",8012,"sinjin",7,0,0
"evolution",8012,"Rovdak",6,1,0
"evolution",8012,"Hi_Its_Me",7,0,0
"evolution",8012,"Demon38",7,0,0
"evolution",8012,"PoohBear",1,6,0
"evolution",8012,"Mucusaur",4,3,0
"evolution",8012,"Dr_Sprocket",5,1,1
"evolution",8012,"Ripskar",7,0,0
"evolution",8012,"GazzaElliott",7,0,0
"evolution",255,"Crim",11,2,0
"evolution",255,"Taiyles",10,3,0
"evolution",255,"lurch",12,1,0
"evolution",255,"Broker",4,1,8
"evolution",255,"Tim",7,3,3
"evolution",255,"American",2,3,8
"evolution",255,"thistownwilleat",9,1,3
"evolution",255,"Truth Seeker",1,11,1
"evolution",255,"Calligirl",1,12,0
"evolution",255,"Karl",7,4,2
"evolution",255,"gilligan8503",10,1,2
"evolution",9769,"Master_Shake",6,1,3
"evolution",9769,"Beelzebubba",6,4,0
"evolution",9769,"billsco",3,2,5
"evolution",9769,"T.Q",4,4,2
"evolution",9769,"obvious_child",9,1,0
"evolution",9769,"Hi_Its_Me",7,3,0
"evolution",9769,"Liminus",9,1,0
"evolution",9769,"SLP",7,2,1
"evolution",9769,"supersport",1,9,0
"evolution",9769,"charlie horse",6,4,0
"evolution",9769,"Archangel",3,7,0
"evolution",9769,"MrWriteLA",9,0,1
"evolution",9769,"Mucusaur",7,0,3
"evolution",9769,"wascallywabbit",7,2,1
"evolution",9769,"Count Otto",7,3,0
"evolution",9769,"ShadowPikachu",8,1,1
"evolution",9769,"pandion",8,1,1
"evolution",9769,"Ripskar",2,2,6
"evolution",9769,"johnhanks",10,0,0
"evolution",1835,"galton",3,0,1
"evolution",1835,"Richard",0,4,0
"evolution",1835,"uri",0,4,0
"evolution",1835,"mizmaxx",4,0,0
"evolution",1835,"sweet_honeybee",0,4,0
"evolution",1835,"Nallyo",1,3,0
"evolution",1835,"Symbiote",4,0,0
"evolution",1835,"Choscura",4,0,0
"evolution",1835,"CCR1994",1,2,1
"evolution",1835,"RaiseTheFist",4,0,0
"evolution",1835,"Alucard",3,0,1
"evolution",1835,"JakeCJB",2,1,1
"evolution",1835,"montalban",0,4,0
"evolution",1835,"Waxy",4,0,0
"evolution",1835,"epaphras_faith",0,4,0
"evolution",1835,"thebootfitter",3,0,1
"evolution",1835,"trebor",4,0,0
"evolution",1835,"sinjin",4,0,0
"evolution",1835,"Big Orn",3,0,1
"evolution",1835,"Phunting",2,1,1
"evolution",1835,"jim's trucking",1,3,0
"evolution",1835,"Sigma",4,0,0
"evolution",1835,"billsco",2,0,2
"evolution",1835,"XeoX",4,0,0
"evolution",1835,"apathy",3,1,0
"evolution",1835,"XQsThaiPoes",4,0,0
"evolution",1835,"Tastyfish",3,0,1
"evolution",1835,"unkerpaulie",3,1,0
"evolution",1835,"emoreno2292",4,0,0
"evolution",4949,"Duo_Maxwell",5,0,2
"evolution",4949,"Waxy",4,3,0
"evolution",4949,"victorpride",1,5,1
"evolution",4949,"sinjin",5,0,2
"evolution",4949,"Kronus",5,1,1
"evolution",4949,"Close_slave_can",7,0,0
"evolution",4949,"Clive14",7,0,0
"evolution",4949,"Beowulf Lee",3,0,4
"evolution",4949,"Ray Martinez",3,4,0
"evolution",4949,"trebor",6,0,1
"evolution",4949,"pandion",7,0,0
"evolution",4949,"gnojek",5,0,2
"evolution",4949,"jim's trucking",5,0,2
"evolution",4949,"Herbalizer",7,0,0
"evolution",4949,"Black Phoenix",3,1,3
"evolution",4949,"unkerpaulie",3,4,0
"evolution",979,"Rationalist",5,0,0
"evolution",979,"AMD4EVER",5,0,0
"evolution",979,"Mr Jack",4,0,1
"evolution",979,"lurch",5,0,0
"evolution",979,"TheoMorphic",4,0,1
"evolution",979,"shenzhou",4,0,1
"evolution",979,"Priscilla2",2,3,0
"evolution",979,"WarriorPoet",0,5,0
"evolution",979,"Benjamin",0,5,0
"evolution",979,"lappster",1,4,0
"evolution",979,"montalban",0,5,0
"evolution",979,"ROCC",1,3,1
"evolution",979,"sensate",3,1,1
"evolution",979,"Hank",4,0,1
"evolution",979,"scott7",5,0,0
"evolution",979,"Robbie",0,5,0
"evolution",979,"epaphras_faith",1,3,1
"evolution",979,"Mackers",4,0,1
"evolution",979,"SLP",5,0,0
"evolution",979,"wja",4,0,1
"evolution",979,"iamthetruth",4,1,0
"evolution",979,"Crim",5,0,0
"evolution",979,"mizmaxx",4,1,0
"evolution",979,"LookaDat",2,0,3
"evolution",979,"Demon38",3,1,1
"evolution",979,"Vindex Urvogel",4,0,1
"evolution",979,"deeph",2,2,1
"evolution",979,"God Fearing Ath",4,0,1
"evolution",979,"Ursus maritimus",4,0,1
"evolution",979,"Karl",1,1,3
"evolution",9770,"Archangel",0,8,0
"evolution",9770,"Count Otto",7,1,0
"evolution",9770,"nazsmith",7,1,0
"evolution",9770,"obvious_child",7,1,0
"evolution",9770,"Liminus",5,1,2
"evolution",9770,"lesz",7,1,0
"evolution",9770,"ShadowPikachu",8,0,0
"evolution",9770,"T.Q",7,1,0
"evolution",9770,"charlie horse",4,1,3
"evolution",9770,"pandion",7,1,0
"evolution",9770,"BeHereNow",1,5,2
"evolution",9770,"thelmoose",5,0,3
"evolution",9770,"James",3,1,4
"evolution",9770,"SLP",8,0,0
"evolution",9770,"trebor",8,0,0
"evolution",9770,"GiantOreo",7,0,1
"evolution",9770,"Symbiote",5,0,3
"evolution",9770,"johnhanks",5,2,1
"evolution",9770,"Jill White",4,0,4
"evolution",9770,"peteratwar",0,4,4
"evolution",9770,"Hi_Its_Me",7,1,0
"evolution",9770,"Mucusaur",3,2,3
"evolution",9770,"wascallywabbit",1,7,0
"evolution",9770,"Ripskar",8,0,0
"evolution",8926,"Shooterandproud",9,0,0
"evolution",8926,"prschuster",6,2,1
"evolution",8926,"Symbiote",8,1,0
"evolution",8926,"obvious_child",8,0,1
"evolution",8926,"Hi_Its_Me",9,0,0
"evolution",8926,"marc9000",3,6,0
"evolution",8926,"Collin",5,1,3
"evolution",8926,"Love Never Dies",4,1,4
"evolution",8926,"trebor",9,0,0
"evolution",8926,"pandion",9,0,0
"evolution",8926,"T.Q",5,3,1
"evolution",8926,"electrolyte",8,1,0
"evolution",8926,"Another opinion",6,2,1
"evolution",8926,"johnhanks",9,0,0
"evolution",9401,"electrolyte",4,1,2
"evolution",9401,"Shooterandproud",6,1,0
"evolution",9401,"sinjin",6,1,0
"evolution",9401,"T.Q",5,0,2
"evolution",9401,"Hi_Its_Me",7,0,0
"evolution",9401,"jitobear",6,1,0
"evolution",9401,"Peeling",7,0,0
"evolution",9401,"supersport",2,4,1
"evolution",9401,"SLP",7,0,0
"evolution",9401,"Mucusaur",5,2,0
"evolution",9401,"obvious_child",4,3,0
"evolution",9401,"wascallywabbit",7,0,0
"evolution",9401,"trebor",5,0,2
"evolution",9401,"pandion",7,0,0
"evolution",9401,"Collin",6,1,0
"evolution",9401,"ShadowPikachu",4,0,3
"evolution",9401,"thelmoose",3,4,0
"evolution",9401,"Sigma",6,1,0
"evolution",9401,"johnhanks",7,0,0
"evolution",3851,"Mr Jack",3,1,2
"evolution",3851,"sinjin",2,3,1
"evolution",3851,"pnac=ww3",6,0,0
"evolution",3851,"Demon38",5,1,0
"evolution",3851,"tlj13",1,5,0
"evolution",3851,"Clive14",6,0,0
"evolution",3851,"Cthulhu",6,0,0
"evolution",3851,"wja",5,0,1
"evolution",3851,"pandion",5,0,1
"evolution",3851,"jyoshu",6,0,0
"evolution",3851,"JordanF",2,4,0
"evolution",3851,"OccamsRazor",5,1,0
"evolution",3851,"Tortle",5,1,0
"evolution",3851,"EvilDave",5,0,1
"evolution",3851,"Mach",6,0,0
"evolution",1996,"Mr Jack",6,0,0
"evolution",1996,"The Barbarian",6,0,0
"evolution",1996,"Ursus maritimus",6,0,0
"evolution",1996,"carla5010",6,0,0
"evolution",1996,"Toxey",1,5,0
"evolution",1996,"mizmaxx",6,0,0
"evolution",1996,"Tastyfish",6,0,0
"evolution",1996,"AMD4EVER",6,0,0
"evolution",1996,"Hank",1,0,5
"evolution",1996,"Nallyo",5,1,0
"evolution",1996,"CCR1994",2,4,0
"evolution",1996,"astronomyfan87",1,5,0
"evolution",1996,"7th_Arty",6,0,0
"evolution",1996,"Robbie",4,2,0
"evolution",1996,"jitobear",5,1,0
"evolution",1996,"thebootfitter",6,0,0
"evolution",1996,"admin",1,1,4
"evolution",1996,"Gormless",6,0,0
"evolution",1996,"unkerpaulie",5,1,0
"evolution",1996,"ungerdunn",5,1,0
"evolution",1996,"cushla_machree",6,0,0
"evolution",1996,"Close_slave_can",2,4,0
"evolution",9930,"Jill White",6,2,1
"evolution",9930,"Count Otto",7,2,0
"evolution",9930,"Symbiote",9,0,0
"evolution",9930,"Hi_Its_Me",8,1,0
"evolution",9930,"chemist99a",8,1,0
"evolution",9930,"wascallywabbit",3,4,2
"evolution",9930,"supersport",2,7,0
"evolution",9930,"SLP",7,0,2
"evolution",9930,"Archangel",2,7,0
"evolution",9930,"lesz",8,1,0
"evolution",9930,"gman",4,3,2
"evolution",9930,"pandion",7,1,1
"evolution",9930,"GiantOreo",8,1,0
"evolution",9930,"GrannyM",4,1,4
"evolution",9930,"T.Q",6,1,2
"evolution",9930,"obvious_child",9,0,0
"evolution",6804,"Master_Shake",5,0,1
"evolution",6804,"prschuster",4,2,0
"evolution",6804,"SubtleRedFlag",5,1,0
"evolution",6804,"Howard Beale",5,1,0
"evolution",6804,"georged",5,0,1
"evolution",6804,"marc9000",2,3,1
"evolution",6804,"trebor",6,0,0
"evolution",6804,"sinjin",4,2,0
"evolution",6804,"pandion",6,0,0
"evolution",6804,"DamEtel",6,0,0
"evolution",6804,"Terran",2,1,3
"evolution",6804,"beervolcano",4,1,1
"evolution",6804,"OccamsRazor",5,1,0
"evolution",6804,"daewoo",4,2,0
"evolution",6804,"Poligeek",4,2,0
"evolution",9427,"electrolyte",4,1,0
"evolution",9427,"Waxy",2,3,0
"evolution",9427,"prschuster",3,1,1
"evolution",9427,"T.Q",5,0,0
"evolution",9427,"obvious_child",5,0,0
"evolution",9427,"jitobear",5,0,0
"evolution",9427,"marc9000",0,5,0
"evolution",9427,"Peeling",4,1,0
"evolution",9427,"supersport",1,4,0
"evolution",9427,"Arthur Dent",2,2,1
"evolution",9427,"Hi_Its_Me",4,1,0
"evolution",9427,"wascallywabbit",2,2,1
"evolution",9427,"pandion",4,1,0
"evolution",9427,"Collin",5,0,0
"evolution",9427,"ShadowPikachu",4,1,0
"evolution",9427,"GazzaElliott",3,1,1
"evolution",9427,"thelmoose",5,0,0
"evolution",9427,"Shooterandproud",2,1,2
"evolution",3767,"bonddm",0,5,0
"evolution",3767,"pnac=ww3",4,0,1
"evolution",3767,"Duo_Maxwell",4,1,0
"evolution",3767,"Alan Ryan",5,0,0
"evolution",3767,"SheriG",0,5,0
"evolution",3767,"pandion",5,0,0
"evolution",3767,"Tigerlilly",5,0,0
"evolution",3767,"Waxy",4,0,1
"evolution",3767,"GuyWithNoBrain",5,0,0
"evolution",3767,"Perry5",1,0,4
"evolution",3767,"Socialist",5,0,0
"evolution",3767,"thebootfitter",4,1,0
"evolution",3767,"trebor",5,0,0
"evolution",3767,"HeavenBound",0,4,1
"evolution",3767,"Shade",5,0,0
"evolution",3767,"OccamsRazor",5,0,0
"evolution",3767,"Black Phoenix",2,3,0
"evolution",3767,"evident",5,0,0
"evolution",3767,"Demon38",5,0,0
"evolution",3767,"zachvac",4,1,0
"evolution",3767,"Milo",0,5,0
"evolution",3767,"Close_slave_can",5,0,0
"evolution",9524,"Master_Shake",5,1,1
"evolution",9524,"Archangel",2,5,0
"evolution",9524,"Count Otto",7,0,0
"evolution",9524,"T.Q",5,2,0
"evolution",9524,"obvious_child",5,2,0
"evolution",9524,"Hi_Its_Me",7,0,0
"evolution",9524,"Collin",5,2,0
"evolution",9524,"supersport",2,5,0
"evolution",9524,"SLP",6,0,1
"evolution",9524,"Tastyfish",7,0,0
"evolution",9524,"wascallywabbit",4,2,1
"evolution",9524,"trebor",7,0,0
"evolution",9524,"wildflowerneu",2,5,0
"evolution",9524,"ShadowPikachu",7,0,0
"evolution",9524,"pandion",5,2,0
"evolution",9524,"GazzaElliott",6,1,0
"evolution",9524,"electrolyte",7,0,0
"evolution",2421,"Mr Jack",0,7,0
"evolution",2421,"The Barbarian",0,7,0
"evolution",2421,"apathy",0,6,1
"evolution",2421,"umustbebrnagain",7,0,0
"evolution",2421,"joebrummer",1,6,0
"evolution",2421,".Uniform.",4,1,2
"evolution",2421,"Ursus maritimus",0,7,0
"evolution",2421,"GreatMoose",7,0,0
"evolution",2421,"Mucusaur",2,4,1
"evolution",2421,"T.Q",0,7,0
"evolution",2421,"Kronus",0,7,0
"evolution",2421,"canadianman77",4,0,3
"evolution",2421,"unkerpaulie",1,3,3
"evolution",2421,"Adept",0,7,0
"evolution",2421,"montalban",7,0,0
"evolution",2421,"Valthonis",0,5,2
"evolution",2421,"ungerdunn",0,7,0
"evolution",2421,"Waxy",0,7,0
"evolution",2421,"jitobear",4,1,2
"evolution",2421,"Beowulf Lee",2,4,1
"evolution",2421,"Big Orn",7,0,0
"evolution",2421,"Clive14",0,6,1
"evolution",2421,"trebor",0,7,0
"evolution",2421,"sinjin",0,7,0
"evolution",2421,"thebootfitter",0,6,1
"evolution",2421,"OccamsRazor",0,6,1
"evolution",2421,"johnhanks",1,5,1
"evolution",2421,"billsco",0,7,0
"evolution",2421,"sglaine",0,7,0
"evolution",2421,"Rogue790",7,0,0
"evolution",2421,"drone001",0,7,0
"evolution",2421,"Black Mamba",0,7,0
"evolution",2421,"Haulingboat",0,4,3
"evolution",2421,"PoohBear",1,2,4
"evolution",2421,"Astronomer",0,5,2
"evolution",2421,"Mike_King",6,1,0
"evolution",2421,"whistler",0,6,1
"evolution",2421,"cushla_machree",0,7,0
"evolution",2853,"accipitridae",7,0,0
"evolution",2853,"sinjin",2,0,5
"evolution",2853,"pnac=ww3",6,1,0
"evolution",2853,"Demon38",4,3,0
"evolution",2853,"apathy",7,0,0
"evolution",2853,"thebootfitter",5,0,2
"evolution",2853,"Nu Leader",0,7,0
"evolution",2853,"montalban",1,6,0
"evolution",2853,"Ursus maritimus",7,0,0
"evolution",2853,"Archilochus",7,0,0
"evolution",2853,"OccamsRazor",7,0,0
"evolution",2853,"iskandarb",7,0,0
"evolution",2853,"Mach",7,0,0
"evolution",9741,"MrWriteLA",3,0,4
"evolution",9741,"Symbiote",6,1,0
"evolution",9741,"Hi_Its_Me",4,0,3
"evolution",9741,"chemist99a",7,0,0
"evolution",9741,"Collin",4,3,0
"evolution",9741,"supersport",1,6,0
"evolution",9741,"SLP",7,0,0
"evolution",9741,"lesz",7,0,0
"evolution",9741,"wascallywabbit",1,6,0
"evolution",9741,"trebor",7,0,0
"evolution",9741,"James",7,0,0
"evolution",9741,"Ripskar",7,0,0
"evolution",9741,"T.Q",6,1,0
"evolution",9741,"johnhanks",6,1,0
"evolution",9007,"T.Q",3,1,0
"evolution",9007,"obvious_child",2,2,0
"evolution",9007,"Hi_Its_Me",3,1,0
"evolution",9007,"marc9000",0,4,0
"evolution",9007,"Peeling",2,2,0
"evolution",9007,"supersport",0,4,0
"evolution",9007,"Big_Bear_Scot",1,2,1
"evolution",9007,"trebor",1,1,2
"evolution",9007,"pandion",4,0,0
"evolution",9007,"lucaspa",2,2,0
"evolution",9007,"Collin",3,1,0
"evolution",9007,"Ripskar",0,1,3
"evolution",9007,"GazzaElliott",1,2,1
"evolution",9007,"electrolyte",3,0,1
"evolution",9007,"johnhanks",2,2,0
"evolution",9763,"Archangel",0,6,0
"evolution",9763,"gamehuis",6,0,0
"evolution",9763,"nazsmith",6,0,0
"evolution",9763,"obvious_child",6,0,0
"evolution",9763,"chemist99a",4,1,1
"evolution",9763,"Liminus",4,0,2
"evolution",9763,"Mucusaur",5,0,1
"evolution",9763,"trebor",3,0,3
"evolution",9763,"peteratwar",3,2,1
"evolution",9763,"Count Otto",6,0,0
"evolution",9763,"pandion",5,1,0
"evolution",9763,"Winston Smith",6,0,0
"evolution",9763,"Ripskar",6,0,0
"evolution",9763,"ShadowPikachu",6,0,0
"evolution",9763,"Symbiote",6,0,0
"evolution",10463,"electrolyte",9,0,0
"evolution",10463,"feindslayer",3,4,2
"evolution",10463,"T.Q",5,1,3
"evolution",10463,"obvious_child",9,0,0
"evolution",10463,"chemist99a",4,3,2
"evolution",10463,"ChristAscended",3,6,0
"evolution",10463,"supersport",5,3,1
"evolution",10463,"Hi_Its_Me",8,0,1
"evolution",10463,"lesz",9,0,0
"evolution",10463,"trebor",9,0,0
"evolution",10463,"pandion",9,0,0
"evolution",10463,"unkerpaulie",9,0,0
"evolution",10463,"Antibogotes",5,4,0
"evolution",10463,"Winston Smith",4,3,2
"evolution",10463,"Ripskar",8,1,0
"evolution",10463,"snakespit",9,0,0
"evolution",10463,"PoliticalRef",4,5,0
"evolution",10463,"samiinh",6,0,3
"evolution",10463,"johnhanks",6,3,0
"evolution",9764,"Archangel",3,7,0
"evolution",9764,"gamehuis",8,2,0
"evolution",9764,"T.Q",8,2,0
"evolution",9764,"obvious_child",10,0,0
"evolution",9764,"chemist99a",7,3,0
"evolution",9764,"Liminus",9,0,1
"evolution",9764,"Hi_Its_Me",8,1,1
"evolution",9764,"lesz",9,1,0
"evolution",9764,"Mucusaur",7,3,0
"evolution",9764,"Zardoz",5,3,2
"evolution",9764,"wascallywabbit",2,7,1
"evolution",9764,"trebor",7,3,0
"evolution",9764,"peteratwar",8,1,1
"evolution",9764,"ShadowPikachu",9,1,0
"evolution",9764,"GiantOreo",8,2,0
"evolution",9764,"Ripskar",6,2,2
"evolution",9764,"pandion",9,1,0
"evolution",9764,"Symbiote",9,1,0
"evolution",9764,"johnhanks",9,1,0
"evolution",9764,"Vinterland",7,2,1
"evolution",10445,"Archangel",0,4,0
"evolution",10445,"Count Otto",4,0,0
"evolution",10445,"obvious_child",4,0,0
"evolution",10445,"lesz",4,0,0
"evolution",10445,"Databed",4,0,0
"evolution",10445,"ShadowPikachu",4,0,0
"evolution",10445,"Benjamin",0,4,0
"evolution",10445,"Brigid",2,0,2
"evolution",10445,"feindslayer",0,4,0
"evolution",10445,"T.Q",4,0,0
"evolution",10445,"Nebuchadnezzar",1,3,0
"evolution",10445,"marc9000",0,4,0
"evolution",10445,"Peeling",4,0,0
"evolution",10445,"supersport",1,3,0
"evolution",10445,"Big_Bear_Scot",4,0,0
"evolution",10445,"OLEG",4,0,0
"evolution",10445,"iangb",4,0,0
"evolution",10445,"pandion",4,0,0
"evolution",10445,"DrNo",4,0,0
"evolution",10445,"thelmoose",4,0,0
"evolution",10445,"Promethean",4,0,0
"evolution",10445,"chemist99a",4,0,0
"evolution",10445,"MarielB",3,1,0
"evolution",10445,"smiley",4,0,0
"evolution",10445,"trebor",4,0,0
"evolution",10445,"gansao",3,1,0
"evolution",10445,"GiantOreo",1,0,3
"evolution",10445,"JSDKoeln",3,0,1
"evolution",10445,"jim's trucking",4,0,0
"evolution",10445,"johnhanks",4,0,0
"evolution",10445,"tester",2,0,2
"evolution",10445,"sinjin",4,0,0
"evolution",10445,"jazyjason",4,0,0
"evolution",10445,"Mucusaur",4,0,0
"evolution",10445,"syeater",0,4,0
"evolution",10445,"Accipiter",3,1,0
"evolution",10445,"Iuris",2,0,2
"evolution",10445,"birdan",4,0,0
"evolution",10445,"Penfold",4,0,0
"evolution",10445,"Easyrider",0,3,1
"evolution",10445,"Bad Mojo",4,0,0
"evolution",10445,"OldSarge",0,1,3
"evolution",4234,"Waxy",5,2,2
"evolution",4234,"billsco",0,4,5
"evolution",4234,"epaphras_faith",3,5,1
"evolution",4234,"unkerpaulie",3,4,2
"evolution",4234,"Big Orn",3,4,2
"evolution",4234,"greg 79 f150",3,0,6
"evolution",4234,"trebor",7,2,0
"evolution",4234,"HeavenBound",3,4,2
"evolution",4234,"thebootfitter",1,3,5
"evolution",4234,"Easyrider",3,5,1
"evolution",4234,"CaptRuss",6,0,3
"evolution",4234,"Orion",9,0,0
"evolution",4366,"Duo_Maxwell",8,0,0
"evolution",4366,"Waxy",7,1,0
"evolution",4366,"sinjin",8,0,0
"evolution",4366,"jitobear",7,0,1
"evolution",4366,"Alan Ryan",8,0,0
"evolution",4366,"wsm2506",7,0,1
"evolution",4366,"Big Orn",6,0,2
"evolution",4366,"Demon38",6,2,0
"evolution",4366,"Jaaaman",4,4,0
"evolution",4366,"Clive14",8,0,0
