"key","discussion_id","worker_id","agree-disagree","defeater-undercutter","defeater-undercutter_unsure","negotiate-attack","negotiate-attack_unsure","personal-audience","personal-audience_unsure","questioning-asserting","questioning-asserting_unsure"
"(574, 5)",5769,"A3BVJL7P490DCS","Agree","","","","","","","",""
"(574, 5)",5769,"A1A7QL3AOOQ4CS","Agree","","","","","","","",""
"(574, 5)",5769,"A1V2JY1MJ4P6CF","Agree","","","","","","","",""
"(574, 5)",5769,"A3I4ZMVYOS91BX","Agree","","","","","","","",""
"(1114, 6)",3570,"A1F4BQTQH21J75","Agree","","","","","","","",""
"(1114, 6)",3570,"AG9BUUONHFKSS","Agree","","","","","","","",""
"(1114, 6)",3570,"A1BS484S0O76YT","Disagree",-4,False,1,False,-4,False,5,False
"(1114, 6)",3570,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(1114, 6)",3570,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(1114, 6)",3570,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(1228, 2)",7073,"ADN76VWLV3O5S","Disagree",-3,False,-3,False,-2,False,3,False
"(1228, 2)",7073,"AZ8RYHKONKOCB","Agree","","","","","","","",""
"(1228, 2)",7073,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(1228, 2)",7073,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(1228, 2)",7073,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(1228, 2)",7073,"A6Y7BLDK90Q19","Disagree",-1,False,-3,False,0,False,0,False
"(364, 1)",12573,"A2FDXVWVI05XA4","Disagree",4,False,1,False,-4,False,4,False
"(364, 1)",12573,"A2Q3ZPCNE2EOAO","Disagree",-5,False,5,False,-5,False,-3,False
"(364, 1)",12573,"A2851KDBWNZ1OR","Agree","","","","","","","",""
"(364, 1)",12573,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(364, 1)",12573,"A2WNW8A4MOR7T7","Disagree",-1,False,2,False,-2,False,-2,False
"(611, 0)",4337,"A32LCM1ZARQLOG","Disagree",3,False,-3,False,3,False,3,False
"(611, 0)",4337,"A1H315JJUL7CWD","Disagree",-5,False,-5,False,3,False,4,False
"(611, 0)",4337,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(611, 0)",4337,"A29GGSOI4YN32G","Disagree",4,False,-2,False,-4,False,3,False
"(611, 0)",4337,"A13ZLTV0I0UG4D","Disagree",-5,False,2,False,-2,False,5,False
"(611, 0)",4337,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(1018, 2)",6070,"A1O9R4UMEZUBNV","Disagree",3,False,2,False,-1,False,-4,False
"(1018, 2)",6070,"A2O9ZPGNNBSH00","Disagree",-3,False,2,False,-2,False,-2,False
"(1018, 2)",6070,"AD77JDZ2H9ONW","Disagree",3,False,-5,False,2,False,0,False
"(1018, 2)",6070,"A3374C8G2EUNVO","Agree","","","","","","","",""
"(1018, 2)",6070,"A3C9A382KUWMS0","Agree","","","","","","","",""
"(1018, 2)",6070,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(947, 2)",11445,"A3GQBFLBQZDKI2","Agree","","","","","","","",""
"(947, 2)",11445,"A1RF70DSVAZVI6","Disagree",-5,False,3,False,0,False,-5,False
"(947, 2)",11445,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(947, 2)",11445,"A36JZTUKQVV5S5","Disagree",5,False,0,True,-5,False,-5,False
"(947, 2)",11445,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(947, 2)",11445,"A17IWKV4G3N25X","Agree","","","","","","","",""
"(1265, 3)",14243,"A2HB464NR4TS1K","Agree","","","","","","","",""
"(1265, 3)",14243,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(1265, 3)",14243,"A1B2KIB7DPC2PR","Disagree",1,False,1,False,1,False,1,False
"(1265, 3)",14243,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(1265, 3)",14243,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(1194, 1)",14298,"A3S0NNL81WJSEH","Disagree",-5,False,4,False,-5,False,-5,False
"(1194, 1)",14298,"AG9BUUONHFKSS","Agree","","","","","","","",""
"(1194, 1)",14298,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(1194, 1)",14298,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(1194, 1)",14298,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(1194, 1)",14298,"A6Y7BLDK90Q19","Disagree",0,False,1,False,-2,False,0,False
"(330, 0)",9980,"A2QL6MUPV7JJYJ","Disagree",5,False,-5,False,-5,False,5,False
"(330, 0)",9980,"A380NNCHQV2LJM","Disagree",-5,False,0,False,5,False,0,False
"(330, 0)",9980,"A1NBYKBMZYXYZL","Disagree",-3,False,1,False,-5,False,5,False
"(330, 0)",9980,"A3DSRQ5CBK6G3U","Agree","","","","","","","",""
"(330, 0)",9980,"A1A7QL3AOOQ4CS","Agree","","","","","","","",""
"(259, 4)",6110,"AFDLE79DCTIPP","Agree","","","","","","","",""
"(259, 4)",6110,"A3BVJL7P490DCS","Agree","","","","","","","",""
"(259, 4)",6110,"A1A7QL3AOOQ4CS","Agree","","","","","","","",""
"(259, 4)",6110,"A1KSBT67CUWBB3","Disagree",5,False,0,True,-5,False,-5,False
"(259, 4)",6110,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(259, 4)",6110,"A1B2KIB7DPC2PR","Disagree",-2,False,2,False,1,False,1,False
"(577, 1)",14115,"A1FNEVG87BS5K0","Agree","","","","","","","",""
"(577, 1)",14115,"A3CH0RF0980QJR","Disagree",3,False,-4,False,3,False,-1,False
"(577, 1)",14115,"A3DSRQ5CBK6G3U","Agree","","","","","","","",""
"(577, 1)",14115,"A1A7QL3AOOQ4CS","Agree","","","","","","","",""
"(577, 1)",14115,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(577, 1)",14115,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(1247, 4)",3222,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(1247, 4)",3222,"AC8BGOG45QWA2","Agree","","","","","","","",""
"(1247, 4)",3222,"A31O7P7Z650N7B","Agree","","","","","","","",""
"(1247, 4)",3222,"A1B2KIB7DPC2PR","Disagree",2,False,2,False,-5,False,-3,False
"(1247, 4)",3222,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(383, 5)",14127,"A2UUKYKG5SQV2V","Agree","","","","","","","",""
"(383, 5)",14127,"A1NI411A2DOHV1","Agree","","","","","","","",""
"(383, 5)",14127,"AIAG9GAWLZZL5","Disagree",-5,False,-5,False,-5,False,5,False
"(383, 5)",14127,"A3BVJL7P490DCS","Agree","","","","","","","",""
"(383, 5)",14127,"A2FZM7ZDCLPMCF","Agree","","","","","","","",""
"(1345, 4)",401,"AP1HCIYDB0OTX","Disagree",0,True,-1,False,0,True,-1,False
"(1345, 4)",401,"A18JQFU6QCTI6G","Disagree",0,False,0,False,-2,False,-5,False
"(1345, 4)",401,"A2VTDOJE2XP8TK","Disagree",5,False,-2,False,-3,False,-4,False
"(1345, 4)",401,"AIY8WQZDKMD5C","Disagree",-2,False,-4,False,-5,False,-5,False
"(1345, 4)",401,"A2PR1KFDC8Y3K3","Agree","","","","","","","",""
"(1345, 4)",401,"A31RKV21MUC3R0","Disagree",4,False,-2,False,-3,False,-3,False
"(1345, 4)",401,"A1RF70DSVAZVI6","Disagree",4,False,2,False,-4,False,-5,False
"(481, 5)",9007,"A313UJHIIK55EO","Agree","","","","","","","",""
"(481, 5)",9007,"A3FM3KWYVBBZ15","Agree","","","","","","","",""
"(481, 5)",9007,"A2SJC9VRBGNC58","Agree","","","","","","","",""
"(481, 5)",9007,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(481, 5)",9007,"A1BS484S0O76YT","Agree","","","","","","","",""
"(559, 6)",10129,"APFE0NBU7J08E","Disagree",2,False,4,False,-5,False,2,False
"(559, 6)",10129,"A1BADZXRMPSPDC","Disagree",-1,False,1,False,-2,False,3,False
"(559, 6)",10129,"A7ZOVHE48L7RS","Disagree",5,False,5,False,-5,False,4,False
"(559, 6)",10129,"A3S0NNL81WJSEH","Disagree",4,False,3,False,-4,False,0,False
"(559, 6)",10129,"A3R5CALO6EH0ZR","Disagree",-5,False,5,False,-5,False,5,False
"(559, 6)",10129,"A3TCFIPOBRZZB3","Disagree",-5,False,5,False,-5,False,-5,False
"(728, 2)",576,"A2Q3ZPCNE2EOAO","Disagree",-5,False,2,False,-4,False,5,False
"(728, 2)",576,"ADN76VWLV3O5S","Disagree",-3,False,-5,False,-3,False,4,False
"(728, 2)",576,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(728, 2)",576,"A1B2KIB7DPC2PR","Disagree",-3,False,-4,False,2,False,1,False
"(728, 2)",576,"A36JZTUKQVV5S5","Disagree",-5,False,-4,False,-5,False,4,False
"(728, 2)",576,"A3F0OII70LQX09","Disagree",-3,False,-3,False,1,False,3,False
"(1136, 5)",102,"AHOU3VA400IOT","Disagree",-3,False,-4,False,3,False,5,False
"(1136, 5)",102,"A18JQFU6QCTI6G","Disagree",-2,False,2,False,-3,False,0,False
"(1136, 5)",102,"A3CT5E0WZJL8PG","Disagree",-5,False,-5,False,-3,False,3,False
"(1136, 5)",102,"A2VTDOJE2XP8TK","Disagree",2,False,0,False,-3,False,2,False
"(1136, 5)",102,"AP1HCIYDB0OTX","Disagree",-3,False,-4,False,-4,False,3,False
"(1136, 5)",102,"A1ILI24TOFSQRG","Disagree",5,False,-4,False,5,False,-5,False
"(1136, 5)",102,"AZ8L0BT7XIALO","Disagree",-1,False,-3,False,-2,False,1,False
"(127, 0)",9773,"AFDLE79DCTIPP","Agree","","","","","","","",""
"(127, 0)",9773,"A1BG4Z8AANP95N","Agree","","","","","","","",""
"(127, 0)",9773,"A10GCI84NSKYM","Disagree",-5,False,5,False,-5,False,5,False
"(127, 0)",9773,"A1KEURR4Z7DXX","Disagree",-5,False,5,False,-5,False,-5,False
"(127, 0)",9773,"A2WNW8A4MOR7T7","Disagree",-3,False,2,False,-4,False,3,False
"(127, 0)",9773,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(1213, 5)",94,"A2O9ZPGNNBSH00","Disagree",-3,False,2,False,-4,False,-3,False
"(1213, 5)",94,"A1BS484S0O76YT","Disagree",4,False,4,False,-4,False,-4,False
"(1213, 5)",94,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(1213, 5)",94,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(1213, 5)",94,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(40, 4)",5724,"AHH34KPTA2LSS","Agree","","","","","","","",""
"(40, 4)",5724,"A2M6B4T35HDKMZ","Disagree",5,False,-5,False,-5,False,5,False
"(40, 4)",5724,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(40, 4)",5724,"A37XVHGR4ZSTSM","Disagree",-5,False,-3,False,-3,False,4,False
"(40, 4)",5724,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(40, 4)",5724,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(349, 6)",6045,"A1PLL1GKGQA2WJ","Disagree",5,False,5,False,5,False,5,False
"(349, 6)",6045,"A32LCM1ZARQLOG","Disagree",2,False,-2,False,0,False,2,False
"(349, 6)",6045,"ACPUTK2MNMYHB","Disagree",-1,True,1,True,-2,False,1,True
"(349, 6)",6045,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(349, 6)",6045,"A1B2KIB7DPC2PR","Disagree",-2,False,2,False,-2,False,1,False
"(278, 2)",10512,"AAMTSEDQYCRKI","Disagree",5,False,-5,False,0,False,5,False
"(278, 2)",10512,"A1NBYKBMZYXYZL","Disagree",5,False,-5,False,2,False,5,False
"(278, 2)",10512,"A3R5CALO6EH0ZR","Agree","","","","","","","",""
"(278, 2)",10512,"A301JS9I6MSBN1","Agree","","","","","","","",""
"(278, 2)",10512,"A2Y2QTD64ZV00R","Agree","","","","","","","",""
"(278, 2)",10512,"A2FZM7ZDCLPMCF","Agree","","","","","","","",""
"(463, 2)",13784,"A22K68WIUPZSRQ","Disagree",-3,False,-3,False,-3,False,3,False
"(463, 2)",13784,"A1ILI24TOFSQRG","Disagree",4,False,-2,False,-3,False,-1,False
"(463, 2)",13784,"ACRPELJEVGVFN","Disagree",-3,False,0,False,0,False,1,False
"(463, 2)",13784,"A31RKV21MUC3R0","Disagree",3,False,-2,False,-3,False,3,False
"(463, 2)",13784,"A1Y2YP6Y7DKFI6","Disagree",-5,False,-5,False,0,False,5,False
"(525, 3)",12943,"A2B7O6THFZHQZ8","Disagree",1,False,-2,False,1,False,0,True
"(525, 3)",12943,"A2IFI1P3MA35AM","Disagree",-5,False,-3,False,0,False,2,False
"(525, 3)",12943,"AFDLE79DCTIPP","Agree","","","","","","","",""
"(525, 3)",12943,"A3FM3KWYVBBZ15","Disagree",-5,False,1,False,-5,False,-1,False
"(525, 3)",12943,"AP1HCIYDB0OTX","Disagree",-1,False,-2,False,-1,False,-1,False
"(525, 3)",12943,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(710, 1)",9353,"AHOU3VA400IOT","Disagree",-4,False,2,False,-5,False,-4,False
"(710, 1)",9353,"A2Q3ZPCNE2EOAO","Disagree",-5,False,-2,False,-3,False,5,False
"(710, 1)",9353,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(710, 1)",9353,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(710, 1)",9353,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(710, 1)",9353,"A6Y7BLDK90Q19","Disagree",1,False,1,False,-2,False,0,False
"(1038, 5)",13042,"A2HUSOVMMRJNNX","Disagree",3,False,3,False,-2,False,-2,False
"(1038, 5)",13042,"A2VTDOJE2XP8TK","Disagree",2,False,-2,False,-2,False,2,False
"(1038, 5)",13042,"AZ8L0BT7XIALO","Disagree",2,False,-2,False,2,False,-1,False
"(1038, 5)",13042,"A31RKV21MUC3R0","Disagree",3,False,-3,False,-3,False,-3,False
"(93, 1)",6380,"A1FNEVG87BS5K0","Agree","","","","","","","",""
"(93, 1)",6380,"AFDLE79DCTIPP","Agree","","","","","","","",""
"(93, 1)",6380,"A1IMICF9ISISZN","Agree","","","","","","","",""
"(93, 1)",6380,"A2NLHYNZX24YUW","Agree","","","","","","","",""
"(93, 1)",6380,"AZDW60621IA38","Agree","","","","","","","",""
"(93, 1)",6380,"A14WWG6NKBDWGP","Agree","","","","","","","",""
