"key","discussion_id","agree-disagree","agreement","agreement_unsure","attack","attack_unsure","defeater-undercutter","defeater-undercutter_unsure","fact-feeling","fact-feeling_unsure","negotiate-attack","negotiate-attack_unsure","nicenasty","nicenasty_unsure","personal-audience","personal-audience_unsure","questioning-asserting","questioning-asserting_unsure","sarcasm","sarcasm_unsure"
"(213, 2)",3859,0.857142857143,0.333333333333,0.166666666667,2.16666666667,0.166666666667,1.0,0.0,2.0,0.0,-1.0,0.0,2.66666666667,0.166666666667,1.0,0.0,1.0,0.0,0.0,0.0
"(142, 6)",12430,0.6,-1.2,0.4,-0.8,0.2,0.5,0.0,-0.6,0.2,1.0,0.0,-0.4,0.0,0.5,0.0,0.0,0.0,0.2,0.0
"(574, 5)",5769,1.0,-1.0,0.2,0.8,0.2,"","",0.0,0.2,"","",1.6,0.2,"","","","",0.0,0.2
"(1114, 6)",3570,0.833333333333,-0.714285714286,0.142857142857,1.85714285714,0.0,-4.0,0.0,-1.57142857143,0.0,1.0,0.0,-0.142857142857,0.142857142857,-4.0,0.0,5.0,0.0,0.166666666667,0.142857142857
"(1228, 2)",7073,0.666666666667,"","","","",-2.0,0.0,"","",-3.0,0.0,"","",-1.0,0.0,1.5,0.0,"",""
"(364, 1)",12573,0.4,0.2,0.0,1.0,0.0,-0.666666666667,0.0,0.4,0.0,2.66666666667,0.0,0.8,0.0,-3.66666666667,0.0,-0.333333333333,0.0,0.4,0.0
"(611, 0)",4337,0.333333333333,-2.0,0.166666666667,0.166666666667,0.166666666667,-0.75,0.0,2.16666666667,0.166666666667,-2.0,0.0,-0.166666666667,0.166666666667,0.0,0.0,3.75,0.0,0.4,0.166666666667
"(1018, 2)",6070,0.5,-2.8,0.0,0.8,0.0,1.0,0.0,1.0,0.0,-0.333333333333,0.0,1.4,0.0,-0.333333333333,0.0,-2.0,0.0,0.5,0.2
"(947, 2)",11445,0.666666666667,-2.2,0.0,0.4,0.0,0.0,0.0,1.4,0.2,1.5,0.5,1.4,0.0,-2.5,0.0,-5.0,0.0,0.25,0.2
"(1265, 3)",14243,0.8,-1.0,0.5,-0.166666666667,0.333333333333,1.0,0.0,-1.66666666667,0.333333333333,1.0,0.0,-0.833333333333,0.333333333333,1.0,0.0,1.0,0.0,0.333333333333,0.5
"(1194, 1)",14298,0.666666666667,-1.0,0.0,-0.5,0.0,-2.5,0.0,-2.25,0.0,2.5,0.0,-0.5,0.0,-3.5,0.0,-2.5,0.0,0.333333333333,0.25
"(330, 0)",9980,0.4,-2.66666666667,0.166666666667,0.0,0.166666666667,-1.0,0.0,1.0,0.166666666667,-1.33333333333,0.0,0.333333333333,0.166666666667,-1.66666666667,0.0,3.33333333333,0.0,0.0,0.166666666667
"(259, 4)",6110,0.666666666667,-1.16666666667,0.0,-0.5,0.166666666667,1.5,0.0,-2.66666666667,0.0,1.0,0.5,0.333333333333,0.166666666667,-2.0,0.0,-2.0,0.0,0.2,0.166666666667
"(577, 1)",14115,0.833333333333,-0.666666666667,0.333333333333,0.666666666667,0.166666666667,3.0,0.0,0.333333333333,0.166666666667,-4.0,0.0,2.33333333333,0.333333333333,3.0,0.0,-1.0,0.0,0.4,0.166666666667
"(1247, 4)",3222,0.8,-3.0,0.0,0.5,0.0,2.0,0.0,-0.5,0.0,2.0,0.0,1.0,0.0,-5.0,0.0,-3.0,0.0,0.0,0.0
"(383, 5)",14127,0.8,1.6,0.0,2.2,0.0,-5.0,0.0,2.0,0.0,-5.0,0.0,3.0,0.0,-5.0,0.0,5.0,0.0,0.0,0.0
"(1345, 4)",401,0.142857142857,-0.166666666667,0.5,0.833333333333,0.0,1.83333333333,0.166666666667,0.666666666667,0.166666666667,-1.16666666667,0.0,2.0,0.166666666667,-2.83333333333,0.166666666667,-3.83333333333,0.0,0.4,0.166666666667
"(481, 5)",9007,1.0,1.8,0.2,1.6,0.2,"","",1.8,0.2,"","",1.6,0.2,"","","","",0.0,0.2
"(559, 6)",10129,0.0,0.428571428571,0.0,-0.428571428571,0.0,0.0,0.0,0.0,0.0,3.83333333333,0.0,0.0,0.142857142857,-4.33333333333,0.0,1.5,0.0,0.25,0.428571428571
"(728, 2)",576,0.166666666667,-2.8,0.2,-1.2,0.2,-3.8,0.0,1.4,0.2,-2.8,0.0,-1.6,0.2,-1.8,0.0,3.4,0.0,0.25,0.2
"(1136, 5)",102,0.0,-3.66666666667,0.0,-0.5,0.0,-1.0,0.0,2.16666666667,0.0,-2.57142857143,0.0,0.833333333333,0.0,-1.0,0.0,1.28571428571,0.0,0.0,0.0
"(127, 0)",9773,0.5,-2.6,0.0,-2.0,0.0,-4.33333333333,0.0,-2.2,0.0,4.0,0.0,-1.6,0.0,-4.66666666667,0.0,1.0,0.0,0.2,0.0
"(1213, 5)",94,0.6,-3.4,0.0,-2.2,0.0,0.5,0.0,-1.2,0.0,3.0,0.0,-1.0,0.0,-4.0,0.0,-3.5,0.0,0.6,0.0
"(40, 4)",5724,0.666666666667,1.66666666667,0.166666666667,1.33333333333,0.333333333333,0.0,0.0,1.33333333333,0.166666666667,-4.0,0.0,2.5,0.0,-4.0,0.0,4.5,0.0,0.166666666667,0.0
"(349, 6)",6045,0.2,-1.8,0.4,0.0,0.2,1.0,0.25,0.2,0.2,1.5,0.25,-0.4,0.0,0.25,0.0,2.25,0.25,0.5,0.2
"(278, 2)",10512,0.666666666667,0.666666666667,0.166666666667,1.5,0.166666666667,5.0,0.0,2.33333333333,0.166666666667,-5.0,0.0,1.83333333333,0.333333333333,1.0,0.0,5.0,0.0,0.0,0.166666666667
"(463, 2)",13784,0.0,-1.16666666667,0.166666666667,-0.333333333333,0.166666666667,-0.8,0.0,1.83333333333,0.166666666667,-2.4,0.0,-0.5,0.166666666667,-1.8,0.0,2.2,0.0,0.5,0.333333333333
"(525, 3)",12943,0.333333333333,-3.0,0.2,-1.0,0.2,-2.5,0.0,-1.0,0.2,-1.5,0.0,-1.2,0.2,-1.25,0.0,0.0,0.25,0.5,0.2
"(710, 1)",9353,0.5,-2.75,0.0,-3.5,0.0,-2.66666666667,0.0,-2.5,0.25,0.333333333333,0.0,-3.0,0.0,-3.33333333333,0.0,0.333333333333,0.0,0.5,0.0
"(1038, 5)",13042,0.0,-1.5,0.166666666667,-1.0,0.166666666667,2.5,0.0,-0.5,0.166666666667,-1.0,0.0,-0.333333333333,0.166666666667,-1.25,0.0,-1.0,0.0,0.5,0.333333333333
"(93, 1)",6380,1.0,1.2,0.2,-0.6,0.2,"","",-0.6,0.2,"","",-0.4,0.2,"","","","",0.0,0.4
"(1364, 6)",13158,0.285714285714,-3.33333333333,0.0,-1.0,0.0,-1.0,0.2,2.33333333333,0.0,-0.4,0.2,-0.333333333333,0.0,-1.8,0.2,2.2,0.2,0.2,0.166666666667
"(1176, 6)",5009,0.6,-1.71428571429,0.0,0.0,0.0,-4.0,0.0,1.42857142857,0.0,-1.5,0.0,1.57142857143,0.142857142857,3.0,0.0,0.5,0.0,0.0,0.285714285714
"(500, 5)",3193,0.333333333333,-1.8,0.0,1.8,0.0,3.0,0.0,1.2,0.0,-4.25,0.0,2.0,0.0,1.25,0.0,1.25,0.0,0.0,0.0
"(676, 0)",6320,0.666666666667,-1.33333333333,0.0,1.0,0.0,-2.5,0.0,-1.5,0.0,-2.0,0.0,2.16666666667,0.0,1.5,0.0,1.5,0.0,0.0,0.166666666667
"(898, 6)",10129,0.166666666667,-0.833333333333,0.166666666667,0.5,0.333333333333,-3.8,0.0,1.16666666667,0.166666666667,-0.2,0.0,0.0,0.166666666667,-3.0,0.0,0.8,0.0,0.4,0.166666666667
"(1108, 3)",9491,0.0,-1.5,0.166666666667,0.666666666667,0.0,0.0,0.0,1.0,0.166666666667,-5.0,0.0,1.5,0.166666666667,-1.0,0.0,4.5,0.0,0.166666666667,0.0
"(244, 2)",11686,0.4,-3.4,0.2,0.2,0.2,0.0,0.0,0.2,0.2,2.33333333333,0.0,0.8,0.2,-4.0,0.0,2.66666666667,0.0,0.0,0.2
"(1330, 5)",4892,0.285714285714,-2.0,0.166666666667,0.666666666667,0.333333333333,-0.6,0.0,-0.333333333333,0.166666666667,-3.0,0.0,0.166666666667,0.166666666667,-2.2,0.0,2.6,0.0,0.2,0.166666666667
"(466, 4)",3462,0.5,-0.333333333333,0.166666666667,1.16666666667,0.0,-2.33333333333,0.333333333333,0.5,0.166666666667,-2.33333333333,0.333333333333,1.66666666667,0.166666666667,-0.333333333333,0.0,3.66666666667,0.0,0.0,0.166666666667
"(395, 0)",9194,0.5,-1.0,0.0,0.833333333333,0.0,4.66666666667,0.0,2.33333333333,0.0,-4.0,0.0,2.16666666667,0.166666666667,-1.0,0.0,3.33333333333,0.0,0.0,0.166666666667
"(642, 3)",13932,1.0,0.333333333333,0.333333333333,0.5,0.166666666667,"","",1.83333333333,0.166666666667,"","",0.666666666667,0.166666666667,"","","","",0.2,0.166666666667
"(827, 5)",9436,0.5,-2.2,0.2,-0.6,0.2,0.333333333333,0.0,1.4,0.2,-1.0,0.0,-0.6,0.2,-0.333333333333,0.0,-1.33333333333,0.0,0.25,0.2
"(1145, 2)",13846,0.0,-4.0,0.0,-0.8,0.0,-3.4,0.0,1.2,0.0,0.2,0.0,0.0,0.0,-2.4,0.0,1.6,0.0,0.4,0.0
"(25, 3)",13558,0.2,-0.2,0.2,1.0,0.0,0.25,0.0,-2.0,0.0,-1.75,0.0,1.8,0.0,0.75,0.0,1.5,0.0,0.0,0.2
"(210, 1)",8978,0.333333333333,-4.0,0.2,-2.0,0.2,-0.5,0.0,0.0,0.2,3.25,0.0,-2.0,0.2,1.0,0.0,0.75,0.0,0.5,0.2
"(793, 6)",12141,0.8,-0.8,0.6,0.4,0.6,5.0,0.0,1.4,0.4,5.0,0.0,0.4,0.4,0.0,1.0,5.0,0.0,0.5,0.6
"(1051, 3)",2924,1.0,2.33333333333,0.333333333333,2.33333333333,0.333333333333,"","",2.33333333333,0.333333333333,"","",2.33333333333,0.333333333333,"","","","",0.0,0.333333333333
"(7, 4)",9222,0.0,-2.6,0.2,-0.2,0.2,-1.2,0.0,0.4,0.2,0.0,0.0,0.4,0.2,-1.6,0.2,3.0,0.0,0.4,0.0
"(176, 0)",11746,0.5,-1.16666666667,0.166666666667,-0.166666666667,0.166666666667,-2.66666666667,0.0,2.83333333333,0.166666666667,-0.333333333333,0.0,0.0,0.166666666667,0.0,0.0,4.66666666667,0.0,0.0,0.166666666667
"(361, 4)",13923,0.666666666667,-2.5,0.166666666667,-2.0,0.166666666667,-4.5,0.0,-0.833333333333,0.166666666667,4.0,0.0,-2.5,0.166666666667,-5.0,0.0,-3.5,0.0,0.6,0.166666666667
"(608, 3)",5524,0.833333333333,-1.0,0.0,1.8,0.0,-3.0,0.0,-1.2,0.0,2.0,0.0,2.0,0.2,0.0,0.0,2.0,0.0,0.0,0.2
"(775, 3)",14409,0.714285714286,0.166666666667,0.666666666667,0.833333333333,0.333333333333,-4.5,0.0,2.0,0.166666666667,-3.0,0.0,0.833333333333,0.333333333333,2.5,0.0,1.5,0.0,0.25,0.333333333333
"(1093, 4)",9769,0.4,-2.66666666667,0.166666666667,1.33333333333,0.166666666667,-3.33333333333,0.0,3.0,0.166666666667,-2.66666666667,0.0,1.16666666667,0.166666666667,-0.333333333333,0.0,1.0,0.0,0.0,0.166666666667
"(944, 5)",11117,0.6,-0.166666666667,0.666666666667,1.5,0.333333333333,0.5,0.0,-0.333333333333,0.166666666667,-0.5,0.0,1.16666666667,0.333333333333,2.0,0.0,1.0,0.0,0.0,0.166666666667
"(229, 5)",13860,0.714285714286,-2.0,0.166666666667,2.16666666667,0.0,-1.5,0.0,1.33333333333,0.0,-2.5,0.0,2.66666666667,0.166666666667,-3.5,0.0,-0.5,0.0,0.0,0.166666666667
"(158, 3)",8134,0.666666666667,0.6,0.8,3.6,0.2,2.0,0.0,-1.2,0.2,-1.5,0.0,3.8,0.2,1.5,0.0,-1.5,0.0,0.0,0.2
"(1429, 2)",7400,0.666666666667,-1.0,0.142857142857,1.28571428571,0.0,-3.5,0.0,1.14285714286,0.0,-3.5,0.0,1.71428571429,0.0,-1.0,0.0,4.0,0.0,0.285714285714,0.0
"(1347, 2)",1425,0.285714285714,-2.75,0.0,-1.25,0.0,-1.0,0.2,0.75,0.25,3.0,0.0,0.75,0.0,-4.2,0.0,0.2,0.6,0.5,0.0
"(590, 6)",11986,0.666666666667,-1.6,0.2,0.2,0.2,1.0,0.0,0.6,0.2,3.0,0.0,1.2,0.2,-5.0,0.0,-4.5,0.0,0.0,0.4
"(812, 4)",12902,1.0,-0.25,0.0,1.5,0.0,"","",2.75,0.0,"","",2.5,0.0,"","","","",0.0,0.0
"(997, 0)",3177,0.333333333333,-2.6,0.2,0.4,0.2,-2.25,0.0,1.0,0.2,-2.25,0.0,0.4,0.2,-3.0,0.0,0.5,0.0,0.25,0.2
"(1118, 4)",999,0.571428571429,-0.6,0.8,0.4,0.6,0.333333333333,0.333333333333,0.2,0.6,-2.0,0.0,0.4,0.6,-3.33333333333,0.0,-4.0,0.0,0.333333333333,0.4
"(926, 4)",495,0.0,-2.6,0.0,1.4,0.0,-1.2,0.0,2.4,0.0,-2.6,0.0,2.4,0.2,-0.4,0.0,0.2,0.0,0.0,0.0
"(380, 6)",9816,1.0,1.66666666667,0.0,2.83333333333,0.0,"","",-2.16666666667,0.0,"","",2.66666666667,0.0,"","","","",0.0,0.0
"(556, 1)",13245,0.5,-1.5,0.166666666667,0.5,0.333333333333,-1.66666666667,0.0,0.166666666667,0.166666666667,0.0,0.0,0.333333333333,0.166666666667,-2.66666666667,0.0,1.0,0.0,0.0,0.666666666667
"(963, 1)",9994,0.4,-2.2,0.0,0.0,0.0,0.333333333333,0.0,1.4,0.0,-2.33333333333,0.0,1.2,0.0,-1.0,0.0,2.66666666667,0.0,0.2,0.0
"(124, 3)",7328,0.6,-2.0,0.285714285714,1.0,0.0,2.5,0.0,0.142857142857,0.0,-3.0,0.0,2.28571428571,0.142857142857,-2.5,0.0,1.0,0.0,0.0,0.0
"(1210, 2)",821,0.4,0.6,0.8,0.0,0.6,-1.0,0.666666666667,0.8,0.6,1.0,0.666666666667,0.2,0.6,-1.33333333333,0.666666666667,-3.0,0.333333333333,0.333333333333,0.4
"(346, 5)",9007,0.333333333333,-2.33333333333,0.166666666667,-0.333333333333,0.166666666667,0.25,0.25,-0.5,0.333333333333,1.5,0.0,-0.166666666667,0.166666666667,-2.25,0.0,-1.0,0.0,0.2,0.166666666667
"(275, 3)",5347,0.5,-3.2,0.0,1.2,0.0,1.33333333333,0.0,-1.0,0.0,0.333333333333,0.0,1.4,0.0,-1.33333333333,0.0,0.0,0.0,0.0,0.0
"(522, 0)",10468,0.666666666667,-2.0,0.0,2.33333333333,0.0,-0.5,0.0,3.0,0.0,-2.5,0.0,2.16666666667,0.0,-2.0,0.5,1.5,0.0,0.0,0.166666666667
"(707, 4)",3169,0.8,1.25,0.0,2.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.0,2.25,0.0,1.0,0.0,3.0,0.0,0.25,0.0
"(929, 2)",388,0.666666666667,0.5,0.0,2.25,0.0,-2.5,0.0,0.5,0.0,-1.0,0.0,2.25,0.0,-4.0,0.0,5.0,0.0,0.0,0.0
"(19, 6)",9613,0.5,-2.33333333333,0.166666666667,-1.83333333333,0.166666666667,-3.33333333333,0.0,-0.666666666667,0.166666666667,-0.666666666667,0.0,-1.5,0.166666666667,-2.33333333333,0.333333333333,-3.0,0.0,0.2,0.166666666667
"(497, 0)",3714,1.0,3.33333333333,0.166666666667,2.0,0.0,"","",-2.0,0.166666666667,"","",-0.833333333333,0.166666666667,"","","","",0.0,0.166666666667
"(575, 5)",10654,0.5,-1.0,0.333333333333,-0.666666666667,0.333333333333,2.33333333333,0.0,0.166666666667,0.333333333333,-3.33333333333,0.0,0.666666666667,0.5,-1.0,0.0,1.66666666667,0.0,0.0,0.666666666667
"(673, 5)",5097,0.5,0.285714285714,0.142857142857,0.857142857143,0.0,1.0,0.666666666667,-1.0,0.0,-0.666666666667,0.666666666667,1.14285714286,0.0,-1.0,0.666666666667,-3.33333333333,0.333333333333,0.75,0.428571428571
"(56, 1)",5421,0.333333333333,-2.0,0.0,0.4,0.0,0.5,0.0,2.0,0.0,-1.5,0.0,0.4,0.0,-0.25,0.0,3.5,0.0,0.0,0.2
"(1343, 0)",13968,0.142857142857,-1.14285714286,0.142857142857,-1.14285714286,0.142857142857,-0.166666666667,0.666666666667,-0.714285714286,0.0,-0.833333333333,0.666666666667,0.285714285714,0.0,-0.333333333333,0.666666666667,-0.166666666667,0.666666666667,0.333333333333,0.142857142857
"(479, 1)",5933,1.0,0.4,0.4,3.0,0.0,"","",0.8,0.0,"","",2.8,0.0,"","","","",0.0,0.0
"(541, 6)",401,0.4,-1.83333333333,0.166666666667,-0.5,0.0,-1.66666666667,0.0,0.333333333333,0.0,-2.33333333333,0.0,0.833333333333,0.166666666667,-3.0,0.0,-2.0,0.0,0.0,0.166666666667
"(392, 3)",6032,0.333333333333,-1.6,0.0,1.6,0.2,-4.0,0.0,0.8,0.2,-4.5,0.0,1.6,0.2,-2.25,0.0,3.25,0.0,0.25,0.2
"(726, 2)",13719,0.4,-2.2,0.0,-3.0,0.0,-4.33333333333,0.0,-2.0,0.0,0.0,0.0,-2.2,0.0,-3.0,0.0,1.33333333333,0.0,0.6,0.0
"(655, 2)",10291,0.4,0.0,0.333333333333,0.833333333333,0.333333333333,0.666666666667,0.0,0.5,0.333333333333,1.0,0.0,1.16666666667,0.333333333333,0.333333333333,0.0,4.0,0.0,0.0,0.333333333333
"(824, 6)",12864,0.666666666667,0.2,0.0,1.8,0.0,-2.5,0.5,3.0,0.0,2.5,0.5,2.4,0.2,2.5,0.5,-2.5,0.5,0.0,0.0
"(109, 4)",7480,1.0,3.0,0.0,3.2,0.0,"","",0.4,0.0,"","",3.4,0.0,"","","","",0.0,0.0
"(38, 0)",9509,0.0,0.2,0.0,2.6,0.0,2.0,0.0,3.2,0.0,-1.8,0.0,1.0,0.0,-1.8,0.0,2.4,0.0,0.2,0.0
"(1309, 1)",8587,1.0,2.2,0.2,1.4,0.4,"","",0.6,0.4,"","",1.4,0.6,"","","","",0.0,0.6
"(445, 2)",12736,0.4,-2.6,0.2,-2.8,0.2,-2.0,0.333333333333,-2.6,0.2,0.0,0.0,-2.4,0.2,-0.333333333333,0.0,1.66666666667,0.333333333333,0.5,0.2
"(692, 5)",9995,0.285714285714,-2.8,0.2,-0.2,0.0,-0.2,0.2,-2.2,0.0,-0.6,0.0,0.4,0.0,-2.2,0.0,-1.6,0.0,0.0,0.0
"(806, 5)",13158,0.333333333333,-2.4,0.0,0.4,0.0,-0.75,0.0,-0.4,0.0,0.5,0.0,1.4,0.0,-2.5,0.0,2.0,0.0,0.0,0.0
"(1124, 0)",12023,0.833333333333,1.2,0.0,1.2,0.0,2.0,0.0,-2.6,0.0,2.0,0.0,1.6,0.0,2.0,0.0,3.0,0.0,0.2,0.0
"(1032, 1)",8706,0.8,-1.5,0.166666666667,0.166666666667,0.166666666667,-3.0,0.0,0.5,0.166666666667,-4.0,0.0,0.333333333333,0.166666666667,1.0,0.0,2.0,0.0,0.0,0.166666666667
"(658, 4)",9014,0.4,-2.2,0.2,2.0,0.0,-3.66666666667,0.0,1.8,0.0,-2.66666666667,0.0,2.2,0.0,-2.66666666667,0.0,3.0,0.0,0.2,0.0
"(843, 0)",2624,0.75,-2.0,0.0,0.166666666667,0.0,-4.0,0.0,2.16666666667,0.0,-4.0,0.0,0.833333333333,0.0,-4.0,0.0,0.0,0.0,0.166666666667,0.0
"(1090, 3)",1983,0.666666666667,0.166666666667,0.333333333333,0.666666666667,0.333333333333,0.5,0.0,1.0,0.5,-1.0,0.5,1.0,0.333333333333,-1.0,0.0,-3.0,0.0,0.0,0.5
"(226, 2)",6110,0.4,-4.2,0.0,2.2,0.0,1.33333333333,0.0,-0.4,0.0,0.666666666667,0.0,2.8,0.0,-0.666666666667,0.0,3.0,0.0,0.0,0.0
"(155, 2)",10651,0.0,-2.33333333333,0.0,0.333333333333,0.0,-0.5,0.0,2.66666666667,0.0,-3.0,0.0,2.33333333333,0.0,-0.333333333333,0.0,3.0,0.0,0.0,0.0
"(1426, 1)",12736,0.666666666667,-0.285714285714,0.0,-0.285714285714,0.0,1.5,0.0,-2.28571428571,0.0,-0.5,0.0,-0.714285714286,0.0,-2.5,0.0,3.5,0.0,0.428571428571,0.0
"(809, 1)",339,0.142857142857,-2.16666666667,0.166666666667,-1.83333333333,0.166666666667,-2.16666666667,0.0,1.83333333333,0.166666666667,-0.166666666667,0.166666666667,-1.5,0.166666666667,0.666666666667,0.0,2.33333333333,0.0,0.4,0.166666666667
"(1241, 6)",8753,0.5,-2.85714285714,0.0,-1.0,0.0,-1.0,0.0,1.14285714286,0.0,-1.66666666667,0.0,0.142857142857,0.0,-2.33333333333,0.0,0.333333333333,0.0,0.5,0.142857142857
"(624, 0)",4019,0.8,-1.5,0.0,-0.666666666667,0.0,-2.0,0.0,-2.33333333333,0.0,-3.0,0.0,0.5,0.0,-3.0,0.0,-4.0,0.0,0.0,0.166666666667
"(553, 4)",9869,0.833333333333,1.83333333333,0.333333333333,2.66666666667,0.166666666667,-2.0,0.0,2.5,0.166666666667,-3.0,0.0,2.66666666667,0.166666666667,2.0,0.0,-5.0,0.0,0.0,0.166666666667
"(791, 6)",999,0.571428571429,-1.66666666667,0.166666666667,0.666666666667,0.166666666667,1.66666666667,0.0,-1.33333333333,0.166666666667,-1.0,0.0,0.333333333333,0.166666666667,-0.333333333333,0.0,2.66666666667,0.0,0.2,0.166666666667
"(960, 2)",9874,0.5,-0.6,0.4,0.4,0.4,-2.0,0.0,1.6,0.4,-3.66666666667,0.0,0.6,0.6,-3.0,0.0,0.666666666667,0.0,0.333333333333,0.4
"(1223, 3)",118,0.2,-2.0,0.0,0.2,0.0,0.0,0.0,2.6,0.0,1.0,0.0,1.0,0.0,-2.5,0.0,0.25,0.0,0.0,0.2
"(359, 0)",9491,0.666666666667,-0.4,0.2,2.0,0.0,4.0,0.0,-0.2,0.0,-4.5,0.0,2.2,0.0,-3.0,0.0,-5.0,0.0,0.0,0.0
"(272, 4)",5524,0.571428571429,-1.66666666667,0.166666666667,-0.666666666667,0.166666666667,1.33333333333,0.0,-1.5,0.166666666667,-1.0,0.0,-0.333333333333,0.166666666667,-0.333333333333,0.0,-0.333333333333,0.0,0.0,0.333333333333
"(606, 3)",5964,0.6,-1.0,0.333333333333,0.333333333333,0.166666666667,-3.5,0.0,0.166666666667,0.5,0.0,0.0,-0.333333333333,0.166666666667,-2.5,0.0,3.0,0.0,0.5,0.333333333333
